time,open,high,low,close,volume,local_time,sentiment
2025-10-17 03:00:00+00:00,108972.98,109100.0,108911.51,109047.49,179.95835,2025-10-17T03:00:00+00:00,0.1
2025-10-17 03:15:00+00:00,109047.49,109097.26,108946.79,109037.76,82.40665,2025-10-17T03:15:00+00:00,0.1
2025-10-17 03:30:00+00:00,109037.76,109105.99,108910.45,108910.45,106.45509,2025-10-17T03:30:00+00:00,0.1
2025-10-17 03:45:00+00:00,108910.45,109240.0,108910.45,109176.74,169.10161,2025-10-17T03:45:00+00:00,0.1
2025-10-17 04:00:00+00:00,109176.74,109236.01,109016.18,109094.09,107.37,2025-10-17T04:00:00+00:00,0.1
2025-10-17 04:15:00+00:00,109094.08,109138.19,108916.0,108966.35,100.51977,2025-10-17T04:15:00+00:00,0.1
2025-10-17 04:30:00+00:00,108966.35,109066.97,108870.24,108910.46,116.81636999999999,2025-10-17T04:30:00+00:00,0.1
2025-10-17 04:45:00+00:00,108910.45,109011.01,108786.0,108787.26,163.16652,2025-10-17T04:45:00+00:00,0.1
2025-10-17 05:00:00+00:00,108787.26,108926.06,108732.0,108813.73,121.33452,2025-10-17T05:00:00+00:00,0.1
2025-10-17 05:15:00+00:00,108813.73,108888.21,108728.02,108832.1,142.69526,2025-10-17T05:15:00+00:00,0.1
2025-10-17 05:30:00+00:00,108832.1,108866.82,108526.43,108553.4,211.30445,2025-10-17T05:30:00+00:00,0.1
2025-10-17 05:45:00+00:00,108553.39,108575.3,108299.12,108381.76,325.12324,2025-10-17T05:45:00+00:00,0.1
2025-10-17 06:00:00+00:00,108381.75,108519.49,108281.23,108329.53,175.71556,2025-10-17T06:00:00+00:00,0.016666666666666663
2025-10-17 06:15:00+00:00,108329.54,108341.1,107758.83,107820.02,443.64628,2025-10-17T06:15:00+00:00,0.016666666666666663
2025-10-17 06:30:00+00:00,107820.02,107882.0,106900.0,107020.0,1234.50085,2025-10-17T06:30:00+00:00,0.024999999999999994
2025-10-17 06:45:00+00:00,107020.01,107195.97,106639.79,106741.28,986.62897,2025-10-17T06:45:00+00:00,0.016666666666666663
2025-10-17 07:00:00+00:00,106741.28,106901.85,106194.19,106245.38,1204.48352,2025-10-17T07:00:00+00:00,0.016666666666666663
2025-10-17 07:15:00+00:00,106245.38,106570.46,106156.46,106297.6,571.15181,2025-10-17T07:15:00+00:00,0.012499999999999997
2025-10-17 07:30:00+00:00,106297.61,106322.33,105688.49,105759.73,1286.04175,2025-10-17T07:30:00+00:00,-0.021111111111111115
2025-10-17 07:45:00+00:00,105759.74,105998.99,105542.09,105633.75,829.57646,2025-10-17T07:45:00+00:00,-0.021111111111111115
2025-10-17 08:00:00+00:00,105633.75,105669.43,105050.0,105146.19,1116.91655,2025-10-17T08:00:00+00:00,-0.021111111111111115
2025-10-17 08:15:00+00:00,105146.2,105459.98,104505.0,105173.59,1959.19306,2025-10-17T08:15:00+00:00,-0.0763888888888889
2025-10-17 08:30:00+00:00,105173.59,105716.15,104890.0,105080.01,747.87193,2025-10-17T08:30:00+00:00,-0.0763888888888889
2025-10-17 08:45:00+00:00,105080.01,105242.89,104741.23,104884.38,809.00182,2025-10-17T08:45:00+00:00,-0.12111111111111113
2025-10-17 09:00:00+00:00,104884.38,105313.24,104806.95,105243.99,629.59618,2025-10-17T09:00:00+00:00,-0.12111111111111113
2025-10-17 09:15:00+00:00,105242.39,105313.23,104892.0,105103.88,260.28118,2025-10-17T09:15:00+00:00,-0.12111111111111113
2025-10-17 09:30:00+00:00,105103.89,105626.67,105077.17,105077.18,360.54225,2025-10-17T09:30:00+00:00,-0.10092592592592593
2025-10-17 09:45:00+00:00,105077.18,105182.62,104520.7,104531.35,784.18931,2025-10-17T09:45:00+00:00,-0.10092592592592593
2025-10-17 10:00:00+00:00,104530.0,104839.49,104259.99,104638.87,625.19391,2025-10-17T10:00:00+00:00,-0.10092592592592593
2025-10-17 10:15:00+00:00,104638.87,104681.43,103528.23,104014.6,1559.1362,2025-10-17T10:15:00+00:00,-0.10092592592592593
2025-10-17 10:30:00+00:00,104014.6,104527.05,103958.95,104410.43,838.72333,2025-10-17T10:30:00+00:00,-0.015079365079365081
2025-10-17 10:45:00+00:00,104410.43,104926.19,104341.24,104751.99,597.23109,2025-10-17T10:45:00+00:00,-0.015079365079365081
2025-10-17 11:00:00+00:00,104751.99,105923.43,104674.0,105816.0,935.6453,2025-10-17T11:00:00+00:00,-0.015079365079365081
2025-10-17 11:15:00+00:00,105816.01,106651.22,105769.85,106257.17,1560.38352,2025-10-17T11:15:00+00:00,-0.013194444444444446
2025-10-17 11:30:00+00:00,106257.17,106319.16,105702.75,105868.1,613.72574,2025-10-17T11:30:00+00:00,-0.013194444444444446
2025-10-17 11:45:00+00:00,105868.11,106002.27,105458.0,105683.72,510.70185000000004,2025-10-17T11:45:00+00:00,-0.013194444444444446
2025-10-17 12:00:00+00:00,105683.71,106070.14,105562.03,105743.37,415.98132,2025-10-17T12:00:00+00:00,0.00634920634920635
2025-10-17 12:15:00+00:00,105743.37,106000.0,105500.96,105600.74,393.10095,2025-10-17T12:15:00+00:00,0.005555555555555557
2025-10-17 12:30:00+00:00,105600.74,105800.0,105235.31,105637.74,297.47235,2025-10-17T12:30:00+00:00,0.005555555555555557
2025-10-17 12:45:00+00:00,105637.74,105654.25,105227.45,105350.4,277.83114,2025-10-17T12:45:00+00:00,0.00634920634920635
2025-10-17 13:00:00+00:00,105350.4,105538.45,105101.69,105284.0,243.19765,2025-10-17T13:00:00+00:00,0.00634920634920635
